titulo,link,descricao,texto_limpo,sentimento
Inteligência Artificial (IA) na educação pública do Piauí - Fundação Telefônica Vivo,https://news.google.com/rss/articles/CBMijwFBVV95cUxPN0NHeEJOREVkTTJCUFNTbEZCU0lTRU5DZkxGaXNkWXRTWjhBVDZrV09TR09NSkZ5NWVRNko1UTNMazBBVlQ3bnp6Y0ktZnUxc1N5SWhjbVJ0WFRpbnctU0lHZDQwRkRoalB5RGlpc2xUZ1RrOVY1R0FNV2ZQZ0haVXZ6SkJvMlJ4TGRfOEtRYw?oc=5,"<a href=""https://news.google.com/rss/articles/CBMijwFBVV95cUxPN0NHeEJOREVkTTJCUFNTbEZCU0lTRU5DZkxGaXNkWXRTWjhBVDZrV09TR09NSkZ5NWVRNko1UTNMazBBVlQ3bnp6Y0ktZnUxc1N5SWhjbVJ0WFRpbnctU0lHZDQwRkRoalB5RGlpc2xUZ1RrOVY1R0FNV2ZQZ0haVXZ6SkJvMlJ4TGRfOEtRYw?oc=5"" target=""_blank"">Inteligência Artificial (IA) na educação pública do Piauí</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Fundação Telefônica Vivo</font>",inteligência artificial ia na educação pública do piauí  fundação telefônica vivo inteligência artificial ia na educação pública do piauínbspnbspfundação telefônica vivo,Neutro
SIA e Seduc lançam chamada pública para seleção de professores bolsistas no projeto Conexão Ciência Piauí - SEDUC-PI,https://news.google.com/rss/articles/CBMi7AFBVV95cUxQV1NETTFwSVRucmxmcS16cWpQQVR0aDA4Z0Nhd3pzUE50dk9GNXVTLXF6aEU2S01CTzl2V2FIZEpfQ0tBZEUtZ2NRb1BYRzNidVBJcm82OUE4QkdmdE1Cd2Ixc05OVEt5VkVEandoaTltY0tLRTdiNEtnMFA3aEdQTi1YX0ZDOERkVlJfYzNqR051RnhDX0t6R2x5Sm9GNDY2Rk1Qb0REZzZyQzl0b3BfUmQtM1J2bUN3aFZRSHFsSk1VVk9fcGk3TkZYRERWQkJjR3lMMG4ySmx2YVBfUmVkNXhKUkRfUmxiU3lQQw?oc=5,"<a href=""https://news.google.com/rss/articles/CBMi7AFBVV95cUxQV1NETTFwSVRucmxmcS16cWpQQVR0aDA4Z0Nhd3pzUE50dk9GNXVTLXF6aEU2S01CTzl2V2FIZEpfQ0tBZEUtZ2NRb1BYRzNidVBJcm82OUE4QkdmdE1Cd2Ixc05OVEt5VkVEandoaTltY0tLRTdiNEtnMFA3aEdQTi1YX0ZDOERkVlJfYzNqR051RnhDX0t6R2x5Sm9GNDY2Rk1Qb0REZzZyQzl0b3BfUmQtM1J2bUN3aFZRSHFsSk1VVk9fcGk3TkZYRERWQkJjR3lMMG4ySmx2YVBfUmVkNXhKUkRfUmxiU3lQQw?oc=5"" target=""_blank"">SIA e Seduc lançam chamada pública para seleção de professores bolsistas no projeto Conexão Ciência Piauí</a>&nbsp;&nbsp;<font color=""#6f6f6f"">SEDUC-PI</font>",sia e seduc lançam chamada pública para seleção de professores bolsistas no projeto conexão ciência piauí  seducpi sia e seduc lançam chamada pública para seleção de professores bolsistas no projeto conexão ciência piauínbspnbspseducpi,Neutro
SIA Talks promove discussão sobre regulamentação da Inteligência Artificial no Brasil e no mundo - pi.gov.br,https://news.google.com/rss/articles/CBMiuwFBVV95cUxQNkJXMVVKNW5JcDdBNDBGYUg4UXM4aHpfcl9rWVJTbHI2NFVmWjVkcXVnZGtQM3ZSaDN2U0Y3RjExNHBuWkNDQUllWWlaUURsNTlBYjJpVzh5TUtBc2htamxiNjJ4TWc5M0ZMWHJidGJqVmtteGVneHRJeTh2bHJiN2dSRWotZ214TDc3bGE0bkRqbFh2aDh2QXYwemh5RFllM2FlZk1rUlNucG91TWhpaUYyMGZncU1oMWhr?oc=5,"<a href=""https://news.google.com/rss/articles/CBMiuwFBVV95cUxQNkJXMVVKNW5JcDdBNDBGYUg4UXM4aHpfcl9rWVJTbHI2NFVmWjVkcXVnZGtQM3ZSaDN2U0Y3RjExNHBuWkNDQUllWWlaUURsNTlBYjJpVzh5TUtBc2htamxiNjJ4TWc5M0ZMWHJidGJqVmtteGVneHRJeTh2bHJiN2dSRWotZ214TDc3bGE0bkRqbFh2aDh2QXYwemh5RFllM2FlZk1rUlNucG91TWhpaUYyMGZncU1oMWhr?oc=5"" target=""_blank"">SIA Talks promove discussão sobre regulamentação da Inteligência Artificial no Brasil e no mundo</a>&nbsp;&nbsp;<font color=""#6f6f6f"">pi.gov.br</font>",sia talks promove discussão sobre regulamentação da inteligência artificial no brasil e no mundo  pigovbr sia talks promove discussão sobre regulamentação da inteligência artificial no brasil e no mundonbspnbsppigovbr,Positivo
Game sobre energia renovável desenvolvido na SIA é disponibilizado ao público - pi.gov.br,https://news.google.com/rss/articles/CBMiogFBVV95cUxOLXBhWnFUUlhjSVlBZTVTSVZhbWx0bFFPdFduUWk3Nm9yd0lHeUxwZUQ2bmRxd2xHOWpIUHFUaThYa0xYdTZSX3NnZGwzWkV0djZPdDZ5VkViWUJDMTRCV3prNm9EUnE4RFA3Z2FPamJoLXNPT3FLOVBfSklMTXhiT1h4c29IVXVRTnFpeWZMSS1mM1I4dGVkZ0g5NzlpQmEzeHc?oc=5,"<a href=""https://news.google.com/rss/articles/CBMiogFBVV95cUxOLXBhWnFUUlhjSVlBZTVTSVZhbWx0bFFPdFduUWk3Nm9yd0lHeUxwZUQ2bmRxd2xHOWpIUHFUaThYa0xYdTZSX3NnZGwzWkV0djZPdDZ5VkViWUJDMTRCV3prNm9EUnE4RFA3Z2FPamJoLXNPT3FLOVBfSklMTXhiT1h4c29IVXVRTnFpeWZMSS1mM1I4dGVkZ0g5NzlpQmEzeHc?oc=5"" target=""_blank"">Game sobre energia renovável desenvolvido na SIA é disponibilizado ao público</a>&nbsp;&nbsp;<font color=""#6f6f6f"">pi.gov.br</font>",game sobre energia renovável desenvolvido na sia é disponibilizado ao público  pigovbr game sobre energia renovável desenvolvido na sia é disponibilizado ao públiconbspnbsppigovbr,Neutro
SIA representa o Piauí em encontros sobre IA e tecnologia com Itália e Israel - pi.gov.br,https://news.google.com/rss/articles/CBMiogFBVV95cUxPTVlMTVE4Sno0dTdaUGJmZzJSTXlQeldEMWE1NjNLLXRJMVdoamFLRDR3MG9nMEhmV0FvZmxXdkhKWWJtS0kyWk90TDg1UWVKVEhjSTVsZUttUEZQNS1rQlVOZWtJZnhVZVh2dmFIRU82N0tiR2VXM29VR2U3RUhjTnFkV2RlM0YxSjJ6N1VYQ3djUlNSVkNCOFR5MWJUX3EwS0E?oc=5,"<a href=""https://news.google.com/rss/articles/CBMiogFBVV95cUxPTVlMTVE4Sno0dTdaUGJmZzJSTXlQeldEMWE1NjNLLXRJMVdoamFLRDR3MG9nMEhmV0FvZmxXdkhKWWJtS0kyWk90TDg1UWVKVEhjSTVsZUttUEZQNS1rQlVOZWtJZnhVZVh2dmFIRU82N0tiR2VXM29VR2U3RUhjTnFkV2RlM0YxSjJ6N1VYQ3djUlNSVkNCOFR5MWJUX3EwS0E?oc=5"" target=""_blank"">SIA representa o Piauí em encontros sobre IA e tecnologia com Itália e Israel</a>&nbsp;&nbsp;<font color=""#6f6f6f"">pi.gov.br</font>",sia representa o piauí em encontros sobre ia e tecnologia com itália e israel  pigovbr sia representa o piauí em encontros sobre ia e tecnologia com itália e israelnbspnbsppigovbr,Neutro
"Piauí + Digital: Sefaz, Etipi e SIA recebem capacitação do BID sobre Termo de Referência - pi.gov.br",https://news.google.com/rss/articles/CBMiqwFBVV95cUxQOG5QY3FaNmJIT0g4bUl4ZlZEVTk0ZDZkTUdyaGIyd0hlZUExYTl3RFZNb2I5dWMtSEg0NEpVaEZEbVRyVWktY0JzZXJMWGZib3hIUzhrNnI4M08zUGwtN1BhUHJPX1FPNG43aXEzU0tDa2ZfcndUSjZVbzQ4XzRlS21EdFRiSjlPYTI4RHBVcUFET1N5TVdxazBKNTVXU2l2QTkteGRLU3hKZW8?oc=5,"<a href=""https://news.google.com/rss/articles/CBMiqwFBVV95cUxQOG5QY3FaNmJIT0g4bUl4ZlZEVTk0ZDZkTUdyaGIyd0hlZUExYTl3RFZNb2I5dWMtSEg0NEpVaEZEbVRyVWktY0JzZXJMWGZib3hIUzhrNnI4M08zUGwtN1BhUHJPX1FPNG43aXEzU0tDa2ZfcndUSjZVbzQ4XzRlS21EdFRiSjlPYTI4RHBVcUFET1N5TVdxazBKNTVXU2l2QTkteGRLU3hKZW8?oc=5"" target=""_blank"">Piauí + Digital: Sefaz, Etipi e SIA recebem capacitação do BID sobre Termo de Referência</a>&nbsp;&nbsp;<font color=""#6f6f6f"">pi.gov.br</font>",piauí  digital sefaz etipi e sia recebem capacitação do bid sobre termo de referência  pigovbr piauí  digital sefaz etipi e sia recebem capacitação do bid sobre termo de referêncianbspnbsppigovbr,Neutro
Piauí e Goiás trocam experiências sobre inteligência artificial e GovTech - pi.gov.br,https://news.google.com/rss/articles/CBMinAFBVV95cUxQTC0xSDhIOG1yVHIwWlhaRlBDRUlVbE03OXM1Vjh1UmJJcjhJMFNKa0ctT0JSdEJ6aU04NXZfUFZyejI3MkpyYzRVcWNWRTF6ZncxekpMSEJhOUJWZVJtZ2ctOHpWcDIweXNaSGh3X2VCYXA2VWQwTUtXUEdYaTZqRFJiVkNFT0g2NmxRblZtYnMxMUZmNXdUZmRNYWg?oc=5,"<a href=""https://news.google.com/rss/articles/CBMinAFBVV95cUxQTC0xSDhIOG1yVHIwWlhaRlBDRUlVbE03OXM1Vjh1UmJJcjhJMFNKa0ctT0JSdEJ6aU04NXZfUFZyejI3MkpyYzRVcWNWRTF6ZncxekpMSEJhOUJWZVJtZ2ctOHpWcDIweXNaSGh3X2VCYXA2VWQwTUtXUEdYaTZqRFJiVkNFT0g2NmxRblZtYnMxMUZmNXdUZmRNYWg?oc=5"" target=""_blank"">Piauí e Goiás trocam experiências sobre inteligência artificial e GovTech</a>&nbsp;&nbsp;<font color=""#6f6f6f"">pi.gov.br</font>",piauí e goiás trocam experiências sobre inteligência artificial e govtech  pigovbr piauí e goiás trocam experiências sobre inteligência artificial e govtechnbspnbsppigovbr,Neutro
Tecnologia e inovação marcam encerramento da Brazil Energy Conference sob liderança da SIA - pi.gov.br,https://news.google.com/rss/articles/CBMiswFBVV95cUxQYkg5NEcyd3BxYTBGQ1VBTE5ucEFPbFgzWlNYb0ViU1pIbzhtc2hXblE0NWNZRlJHOXVYdXZwVi1mSlBGamwwSy1zLVBhQTZraUNjZW0xUk9oWklLX1g0dnFvTE83MWFJeWcxTE5MZFFlS2FFRFBFazA1MHFzTndiODJqYnhRN2JpVVJreUszWGNkbnB0eWxDd1VlVGoydVdGa05rOGZQWXBWeU9fN0Nwa2dENA?oc=5,"<a href=""https://news.google.com/rss/articles/CBMiswFBVV95cUxQYkg5NEcyd3BxYTBGQ1VBTE5ucEFPbFgzWlNYb0ViU1pIbzhtc2hXblE0NWNZRlJHOXVYdXZwVi1mSlBGamwwSy1zLVBhQTZraUNjZW0xUk9oWklLX1g0dnFvTE83MWFJeWcxTE5MZFFlS2FFRFBFazA1MHFzTndiODJqYnhRN2JpVVJreUszWGNkbnB0eWxDd1VlVGoydVdGa05rOGZQWXBWeU9fN0Nwa2dENA?oc=5"" target=""_blank"">Tecnologia e inovação marcam encerramento da Brazil Energy Conference sob liderança da SIA</a>&nbsp;&nbsp;<font color=""#6f6f6f"">pi.gov.br</font>",tecnologia e inovação marcam encerramento da brazil energy conference sob liderança da sia  pigovbr tecnologia e inovação marcam encerramento da brazil energy conference sob liderança da sianbspnbsppigovbr,Neutro
Conexão Ciência: termina nesta sexta (18) o prazo para inscrição de professores - pi.gov.br,https://news.google.com/rss/articles/CBMioAFBVV95cUxPRGh6TTlYVnpQeDJjbWlHdjFTeU5abGpHZUx0X1V6MDhHY1c5d3UzeFN3djBVRTFJS1dyUFE3S1pFVFZ1ZkYtSk9jeWw5andaeVRpRkJpVEVSdWlZQjhnZGdEVkFCSVhuRHotbUIzMnVldDdlZnlxN010Y29BU0lYQ3VheklPdzFVbkwwQUpsa2ZQX3hmT2dWakZwMmlBQVhj?oc=5,"<a href=""https://news.google.com/rss/articles/CBMioAFBVV95cUxPRGh6TTlYVnpQeDJjbWlHdjFTeU5abGpHZUx0X1V6MDhHY1c5d3UzeFN3djBVRTFJS1dyUFE3S1pFVFZ1ZkYtSk9jeWw5andaeVRpRkJpVEVSdWlZQjhnZGdEVkFCSVhuRHotbUIzMnVldDdlZnlxN010Y29BU0lYQ3VheklPdzFVbkwwQUpsa2ZQX3hmT2dWakZwMmlBQVhj?oc=5"" target=""_blank"">Conexão Ciência: termina nesta sexta (18) o prazo para inscrição de professores</a>&nbsp;&nbsp;<font color=""#6f6f6f"">pi.gov.br</font>",conexão ciência termina nesta sexta  o prazo para inscrição de professores  pigovbr conexão ciência termina nesta sexta  o prazo para inscrição de professoresnbspnbsppigovbr,Neutro
"Secretaria leva tecnologia imersiva, realidade virtual e inteligência artificial à Brazil Energy Conference - pi.gov.br",https://news.google.com/rss/articles/CBMiyAFBVV95cUxOam0zZTF4RTRhS3JLQWNKSi1iaDQ1N1BkdGgzUnQ0bXRteDBXUVhuTGQwZkNwRllpUVpUajhMZzl4UEdFb2pSYkVJRVpmSzd4T0MtUDgzUWJjZmQxWk1RalB3LVlTcDJqdTJLRC04Wlk4Um1KOUVIQWtkeHFZUEdXMl8wbVc3aXVSczRMUHJwMFlPR2VxajdFajJ5ZTVrUG9CNWh0T1IyWGRZblBsTGRUZzNXd3VJbGZ0X2ZsSVBHekNiNUZVYkFwcA?oc=5,"<a href=""https://news.google.com/rss/articles/CBMiyAFBVV95cUxOam0zZTF4RTRhS3JLQWNKSi1iaDQ1N1BkdGgzUnQ0bXRteDBXUVhuTGQwZkNwRllpUVpUajhMZzl4UEdFb2pSYkVJRVpmSzd4T0MtUDgzUWJjZmQxWk1RalB3LVlTcDJqdTJLRC04Wlk4Um1KOUVIQWtkeHFZUEdXMl8wbVc3aXVSczRMUHJwMFlPR2VxajdFajJ5ZTVrUG9CNWh0T1IyWGRZblBsTGRUZzNXd3VJbGZ0X2ZsSVBHekNiNUZVYkFwcA?oc=5"" target=""_blank"">Secretaria leva tecnologia imersiva, realidade virtual e inteligência artificial à Brazil Energy Conference</a>&nbsp;&nbsp;<font color=""#6f6f6f"">pi.gov.br</font>",secretaria leva tecnologia imersiva realidade virtual e inteligência artificial à brazil energy conference  pigovbr secretaria leva tecnologia imersiva realidade virtual e inteligência artificial à brazil energy conferencenbspnbsppigovbr,Neutro
Governo divulga resultado final de chamada pública do Conexão Ciência Piauí - pi.gov.br,https://news.google.com/rss/articles/CBMiogFBVV95cUxPeXozUHRYOG9rc3pnTGs3UWNraGtjVy1ISG0teFhsMVBkdVFtSzNxYnpBNkZyaTl6MUJxLTJIN0tXak9pOFZnS3VRZUVvZEtnME8xUW1ybFNXS3pWMHFiOGJxdlFMUE9nRHY4OUYzLUExV0RBUmRyV2ZWXzhkNGtkdXJyeDhxNEZoVVhIWDBMay16LUFqOGExZXpibEJlUGdTT3c?oc=5,"<a href=""https://news.google.com/rss/articles/CBMiogFBVV95cUxPeXozUHRYOG9rc3pnTGs3UWNraGtjVy1ISG0teFhsMVBkdVFtSzNxYnpBNkZyaTl6MUJxLTJIN0tXak9pOFZnS3VRZUVvZEtnME8xUW1ybFNXS3pWMHFiOGJxdlFMUE9nRHY4OUYzLUExV0RBUmRyV2ZWXzhkNGtkdXJyeDhxNEZoVVhIWDBMay16LUFqOGExZXpibEJlUGdTT3c?oc=5"" target=""_blank"">Governo divulga resultado final de chamada pública do Conexão Ciência Piauí</a>&nbsp;&nbsp;<font color=""#6f6f6f"">pi.gov.br</font>",governo divulga resultado final de chamada pública do conexão ciência piauí  pigovbr governo divulga resultado final de chamada pública do conexão ciência piauínbspnbsppigovbr,Neutro
